Source_Name DataRelease RAJ2000 DEJ2000 GLON GLAT Signif_Avg Flux1000 Unc_Flux1000 Energy_Flux100 Unc_Energy_Flux100 SpectrumType PL_Index Unc_PL_Index Pivot_Energy LP_Index Unc_LP_Index LP_beta Unc_LP_beta Flags CLASS ASSOC1 ASSOC_PROB_BAY ASSOC_PROB_LR Counterpart_Catalog RA_Counterpart DEC_Counterpart Unc_Counterpart VLBI_Counterpart Redshift SED_class nu_syn nuFnu_syn Variability_Index Frac_Variability Unc_Frac_Variability Highest_energy
"4FGL J1215.0+1656" 1 183.7742 16.9372 261.55182 76.79078 22.18242 6.4978406e-10 4.9390065e-11 9.017546e-12 6.0364474e-13 PowerLaw 2.410009 0.052938245 853.8494 2.3911307 0.060456026 0.028398983 0.033614952 0 fsrq "TXS 1212+171" 0.9990787 0.9354639 cgrabs 183.766579758 16.910543575 7.500000265281415e-08 "RFC J1215+1654" 1.132 LSP 3507518700000.0 9.940151e-13 219.91977 0.9919378 0.24257977 50.8861
"4FGL J1219.6+0550" 2 184.9085 5.8353 281.9475 67.402145 6.774338 1.8370631e-10 3.4468168e-11 4.332136e-12 5.8294905e-13 PowerLaw 2.0795684 0.14525399 2532.0398 1.9694755 0.21667649 0.14110054 0.13493672 0 rdg "NGC 4261" 0.98880094 0.9954261 nvss 184.84674072265625 5.824916839599609 1.5e-07  -inf  0.0 0.0 14.279169 0.1865566 0.5607028 -inf
"4FGL J1230.8+1223" 1 187.7123 12.3883 283.8031 74.49032 40.581955 1.5832107e-09 6.970902e-11 1.6680523e-11 8.478771e-13 PowerLaw 2.057306 0.032078136 1569.5542 2.0262654 0.039121598 0.035015956 0.01900586 0 rdg "M 87" 0.99902314 0.999947 rfc 187.705930758 12.3911232389 6.799999852091787e-08 "RFC J1230+1223" 0.004283 ISP 398107160000000.0 3.021642e-11 23.064655 0.16187602 0.062397037 301.478
"4FGL J1233.6+5027" 1 188.4105 50.4606 130.02357 66.421906 8.182406 1.7460333e-10 2.7964613e-11 2.3874579e-12 4.0548538e-13 PowerLaw 2.456769 0.109346926 968.65936 2.3522832 0.16238233 0.16183563 0.108448796 0 bll "TXS 1231+507" 0.9754092 0.86105764 crates 188.455277175 50.4396589556 1.500000053056283e-06 "RFC J1233+5026" 0.206796 ISP 376703800000000.0 1.217458e-12 9.137915 0.08883494 0.5209069 -inf
"4FGL J1258.7+5143" 1 194.6946 51.7182 120.20324 65.37114 6.72343 1.3435031e-10 2.4689244e-11 1.5864639e-12 3.6503846e-13 PowerLaw 2.319249 0.18101586 1897.6527 2.3625624 0.11178728 -0.091092385 0.03662069 0 bcu "NVSS J125825+514225" 0.9485126 0.0 wise 194.60580444335938 51.70725631713867 0.0044999998062849045  -inf  0.0 0.0 11.963129 0.22824144 0.38606268 -inf
"4FGL J1302.7+4750" 2 195.687 47.8495 117.5924 69.16132 4.6326985 6.178082e-11 2.2780234e-11 1.0520799e-11 6.3886337e-13 PowerLaw 2.980853 0.21171321 377.49405 3.0153053 0.16004565 -0.088700734 0.062454954 256 bll "TXS 1300+481" 0.9124706 0.0 magn 195.7029266357422 47.91963195800781 0.0045000000000000005  0.14  0.0 0.0 7.8767037 0.0 10.0 -inf
"4FGL J1306.3+1113" 1 196.5992 11.229 316.12103 73.7165 6.137458 1.3806065e-10 3.3520058e-11 1.7013905e-12 4.194579e-13 PowerLaw 1.9843119 0.16881688 3810.6423 1.9846 0.17045972 -0.0034843357 0.074280135 0 rdg "TXS 1303+114" 0.9962957 0.96514446 crates 196.580198221 11.2277209889 2.200000039920269e-07 "RFC J1306+1113" 0.085704  0.0 0.0 9.8369055 0.0 10.0 165.415
"4FGL J1311.8+2057" 1 197.9666 20.9585 341.09335 82.26807 4.938298 5.3013486e-11 2.5426461e-11 2.408646e-12 5.485389e-13 PowerLaw 3.213938 0.22995198 226.59276 3.3200102 0.17167753 -0.1282823 0.052151095 0 bcu "MG2 J131144+2052" 0.8659922 0.0 wise 197.9310302734375 20.869037628173828 0.0044999998062849045  -inf  0.0 0.0 10.193913 0.25690132 0.3207181 -inf
"4FGL J1330.3+4441" 1 202.5793 44.6877 101.53626 70.79045 13.86338 2.9518546e-10 3.2280695e-11 3.1738848e-12 3.8731095e-13 PowerLaw 2.0747738 0.08318941 1986.1969 1.912175 0.14456221 0.13600627 0.08142778 0 bll "1RXS J133021.4+444117" 0.99880195 0.91613543 bllac 202.589690933 44.6889660528 4.300000000512227e-06 "RFC J1330+4441" -inf HSP 2238721100000000.0 7.6149314e-13 10.046745 0.120435774 0.2377021 23.1371
"4FGL J1334.5+5634" 1 203.6377 56.5723 111.19847 59.563015 5.8343887 1.10490325e-10 2.2755886e-11 1.3575615e-12 3.2900044e-13 PowerLaw 2.360104 0.16762696 1707.3579 2.3710468 0.15072127 -0.03133685 0.061986916 0 fsrq "TXS 1332+567" 0.9907357 0.85234874 crates 203.65622115 56.5299604889 5.300000225361146e-07 "RFC J1334+5631" 0.342578 ISP 275422860000000.0 1.024559e-12 11.647232 0.50624585 0.325446 -inf
