,Source_Name,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,CLASS,ASSOC1,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
20,4FGL J0019.3-8152,6.1294475e-10,4.6994634e-11,5.914436e-12,5.547041e-13,PowerLaw,2.1124363,0.059520073,bll,PMN J0019-8152,4.83601874167,-81.8809475222,1.3999999737279722e-06,-inf,ISP,754223370000000.0,4.5752625e-12,19.439966,0.2506516,0.11214682,53.9177
21,4FGL J0019.6+2022,3.1732184e-10,3.857942e-11,3.1332927e-12,4.518287e-13,PowerLaw,2.1648295,0.08901416,bll,PKS 0017+200,4.90772707083,20.3626790694,6.799999852091787e-08,-inf,LSP,2290867770000.0,1.1767088e-12,15.973143,0.37297028,0.19966325,-inf
22,4FGL J0021.5-2552,6.543886e-10,4.620578e-11,7.0060997e-12,5.470889e-13,PowerLaw,2.1214414,0.050147105,bll,CRATES J002132.55-255049.3,5.3856229,-25.8470519611,4.499999874951755e-07,-inf,ISP,412097515000000.0,1.4973454e-12,29.731209,0.31696346,0.105978996,50.5625
23,4FGL J0021.6-0855,1.6307894e-10,3.2833194e-11,1.8575293e-12,4.1795322e-13,PowerLaw,2.2711666,0.14005594,bll,NVSS J002142-090044,5.426040172576904,-9.012310028076172,0.0044999998062849,0.648,,0.0,0.0,10.274478,0.34240133,0.43332177,-inf
24,4FGL J0021.9-5140,5.9852034e-10,4.126734e-11,6.9044575e-12,5.277166e-13,PowerLaw,2.0653079,0.05269352,bll,1RXS J002159.2-514028,5.500329971313477,-51.67338943481445,0.0044999998062849,0.25,ISP,660693480000000.0,2.0923003e-12,30.683594,0.30867282,0.10539503,58.1267
25,4FGL J0022.0+0006,1.04127415e-10,3.2829576e-11,1.9088574e-12,5.0068754e-13,PowerLaw,1.5330765,0.16365965,bll,RX J0022.0+0006,5.503958225250244,0.1161111146211624,0.0089999996125698,0.306,HSP,1.3489629e+17,7.7725944e-13,9.303732,0.0,10.0,353.833
26,4FGL J0022.1-1854,8.571296e-10,5.931551e-11,9.4906565e-12,7.3250195e-13,LogParabola,1.9422411,0.045377817,bll,1RXS J002209.2-185333,5.53862082917,-18.8930185972,3.4999999343199306e-07,-inf,LSP,66069344000000.0,1.8071991e-12,15.917249,0.14650735,0.10293916,95.5201
27,4FGL J0022.5+0608,2.082378e-09,8.626646e-11,2.1512599e-11,8.768094e-13,LogParabola,2.1489704,0.027871588,bll,PKS 0019+058,5.6351717375,6.13451915833,6.799999852091787e-08,-inf,LSP,13963683200000.0,2.7138135e-12,58.48233,0.25465125,0.07119565,36.3345
28,4FGL J0023.9+1603,2.5732702e-10,3.7854393e-11,2.95753e-12,4.6960206e-13,PowerLaw,2.0652134,0.108238205,bll,87GB 002122.5+154553,6.005336625,16.0427651639,4.999999987376214e-07,-inf,LSP,57543993000000.0,7.6088143e-13,8.719812,0.15068759,0.39975804,14.9981
29,4FGL J0026.6-4600,2.0080453e-10,2.948317e-11,2.42879e-12,3.9066783e-13,PowerLaw,1.9491359,0.10981178,bll,1RXS J002636.3-460101,6.647500038146973,-46.01969909667969,0.0044999998062849,-inf,,0.0,0.0,13.780297,0.40731508,0.24365644,71.1879
30,4FGL J0028.8-0112,1.1189993e-10,3.118338e-11,6.2080644e-12,5.627011e-13,PowerLaw,2.1475756,0.2253465,bll,PKS 0026-014,7.254108428955078,-1.2282664775848389,1.5e-07,0.082,ISP,100000000000000.0,8.652747e-13,13.758508,0.51021206,0.46091184,-inf
31,4FGL J0029.0-7044,4.6776033e-10,3.837439e-11,6.522185e-12,5.057826e-13,PowerLaw,2.2181256,0.06834055,bll,PKS 0026-710,7.1731794,-70.7544244639,6.299999881775875e-07,-inf,LSP,20892960700000.0,3.0448016e-12,45.4702,0.44878334,0.13526003,15.3715
32,4FGL J0030.2-1647,2.877504e-10,3.608414e-11,4.0727335e-12,5.849016e-13,PowerLaw,1.7863624,0.08187591,bll,2MASS J00302045-1647130,7.58519942917,-16.7869713833,3.700000092976552e-07,0.237,HSP,3548133950000000.0,2.123792e-12,34.829605,0.67299277,0.22181468,97.084
33,4FGL J0031.3+0726,1.7946121e-10,3.4267818e-11,2.2742073e-12,4.3465023e-13,PowerLaw,1.9156202,0.13131551,bll,NVSS J003119+072456,7.83212394167,7.41487718889,3.300000059880404e-07,-inf,ISP,749894180000000.0,8.9040586e-13,13.153173,0.30590862,0.45033863,54.3462
34,4FGL J0032.4-2849,1.64243e-10,2.8767247e-11,2.351831e-12,3.708684e-13,PowerLaw,2.3642774,0.119504236,bll,PMN J0032-2849,8.13790435833,-28.8223311722,6.899999789311551e-07,0.323888,LSP,43651581000000.0,2.4324392e-12,14.111947,0.44307202,0.25579643,-inf
35,4FGL J0033.3-2040,6.935674e-11,2.4110516e-11,2.351831e-12,3.708684e-13,PowerLaw,1.805528,0.1965916,bll,RBS 0075,8.34362506866455,-20.65227699279785,0.0045,0.073,,0.0,0.0,4.636436,0.0,10.0,219.74
