Source_Name,Energy_Flux100,Unc_Energy_Flux100,PL_Index,CLASS,RA_Counterpart,DEC_Counterpart,Redshift,SED_class,nuFnu_syn,Highest_energy,ASSOC1
4FGL J0539.6+1432,1.29E-11,1.13E-12,2.5451708,FSRQ,84.92652497,14.56265604,2.69,LSP,1.25E-12,-inf,TXS 0536+145
4FGL J0641.7-0320,2.69E-11,1.80E-12,2.6824963,FSRQ,100.4630539,-3.346828383,1.196,LSP,7.03E-13,-inf,PMN J0641-0320
4FGL J1833.6-2103,2.11E-10,3.46E-12,2.5344589,FSRQ,278.4159986,-21.06146639,2.507,LSP,3.63E-12,35.2253,PKS 1830-211
4FGL J2015.5+3710,7.80E-11,6.18E-12,2.4528527,FSRQ,303.8697075,37.18319858,0.859,LSP,1.08E-11,49.7065,MG2 J201534+3710
4FGL J0001.5+2113,1.93E-11,8.21E-13,2.659308,fsrq,0.3848771,21.22674296,1.106,ISP,1.15E-12,-inf,TXS 2358+209
4FGL J0004.3+4614,2.49E-12,4.60E-13,2.584969,fsrq,1.067198515,46.25499344,1.81,LSP,2.29E-13,-inf,MG4 J000421+4615
4FGL J0004.4-4737,6.51E-12,4.72E-13,2.36556,fsrq,1.148564538,-47.60544555,0.88,LSP,2.52E-12,-inf,PKS 0002-478
4FGL J0005.9+3824,8.36E-12,6.58E-13,2.6721156,fsrq,1.488230804,38.3375414,0.229,LSP,7.26E-12,-inf,S4 0003+38
4FGL J0010.6+2043,1.95E-12,4.42E-13,2.31787,fsrq,2.619762692,20.79716349,0.6,LSP,3.64E-13,-inf,TXS 0007+205
4FGL J0010.6-3025,4.52E-12,4.41E-13,2.4560356,fsrq,2.648925842,-30.46317183,1.19,LSP,6.70E-13,25.3734,PKS 0008-307
4FGL J0011.4+0057,5.86E-12,5.84E-13,2.3342156,fsrq,2.876680058,0.9644103111,1.492,LSP,8.56E-13,-inf,RX J0011.5+0058
4FGL J0013.6-0424,2.21E-12,6.46E-13,2.3075821,fsrq,3.475545663,-4.397859672,1.075,LSP,6.41E-13,-inf,PKS 0011-046
4FGL J0016.2-0016,9.95E-12,6.77E-13,2.7406797,fsrq,4.046202304,-0.2534570361,1.57631,LSP,6.77E-13,-inf,S3 0013-00
4FGL J0016.5+1702,3.08E-12,5.43E-13,2.6018126,fsrq,3.9166116,17.0112784,1.709,,0,-inf,GB6 J0015+1700
4FGL J0019.6+7327,2.11E-11,1.45E-12,2.6243196,fsrq,4.940776571,73.45833823,1.781,LSP,1.19E-12,-inf,S5 0016+73
4FGL J0023.7-6820,5.01E-12,4.57E-13,2.8068578,fsrq,6.028012125,-68.34849641,0.354,LSP,5.70E-12,-inf,PKS 0021-686
4FGL J0023.7+4457,5.84E-12,5.41E-13,2.436455,fsrq,5.897676958,44.94326618,1.062,,0,-inf,B3 0020+446
4FGL J0024.7+0349,2.41E-12,4.96E-13,2.3913183,fsrq,6.188405075,3.817663353,0.545,,0,28.8538,GB6 J0024+0349
4FGL J0025.2-2231,1.48E-12,3.77E-13,2.5031378,fsrq,6.351030875,-22.46322131,0.834,LSP,3.81E-13,-inf,PMN J0025-2228
4FGL J0028.4+2001,6.21E-12,5.63E-13,2.4137485,fsrq,7.124243692,20.00742889,1.5517,LSP,6.58E-13,12.9609,TXS 0025+197
4FGL J0030.3-4224,1.61E-11,6.41E-13,2.5236237,fsrq,7.572885929,-42.41291188,0.495,LSP,1.70E-12,91.8714,PKS 0027-426
4FGL J0037.6+3653,2.11E-12,4.92E-13,2.3518124,fsrq,9.442262442,36.98635653,0.366,LSP,1.11E-12,-inf,4C +36.01
4FGL J0038.2-2459,3.42E-12,4.16E-13,2.2622263,fsrq,9.561397946,-24.98395424,1.196,LSP,1.76E-12,42.2966,PKS 0035-252
4FGL J0039.0-0946,4.64E-12,5.01E-13,2.690274,fsrq,9.776215271,-9.713024822,2.1015,LSP,3.54E-13,-inf,TXS 0036-099
4FGL J0041.4+3800,1.82E-12,4.01E-13,1.9358172,fsrq,10.34599503,37.98216621,0.38,HSP,1.14E-12,78.5282,B3 0038+377
4FGL J0042.2+2319,5.08E-12,5.27E-13,2.3218625,fsrq,10.51893821,23.33362834,1.426,LSP,4.24E-13,15.708,PKS 0039+230
4FGL J0043.8+3425,2.62E-11,1.28E-12,1.9526112,fsrq,10.9535129,34.44058119,0.966,LSP,3.01E-13,109.971,GB6 J0043+3426
4FGL J0044.2-8424,3.82E-12,6.32E-13,2.6622696,fsrq,11.11120522,-84.3777743,1.032,LSP,1.11E-12,-inf,PKS 0044-84
4FGL J0045.1-3706,6.94E-12,4.62E-13,2.5946522,fsrq,11.30027538,-37.09679627,-inf,LSP,9.89E-13,10.3385,PKS 0042-373
4FGL J0047.9+2233,7.20E-12,8.99E-13,2.5089388,fsrq,12.01090268,22.59003343,1.161,LSP,3.36E-13,22.1662,GB6 J0048+2234
4FGL J0049.6-4500,2.23E-12,3.77E-13,2.6326447,fsrq,12.31926683,-44.95310122,0.121,LSP,6.94E-12,-inf,PMN J0049-4457
4FGL J0050.0-5736,5.53E-12,5.00E-13,2.6166286,fsrq,12.49780433,-57.64092778,1.797,LSP,1.40E-12,-inf,PKS 0047-579
4FGL J0050.4-0452,1.40E-11,7.23E-13,2.3781056,fsrq,12.58972829,-4.872387542,0.92,LSP,5.66E-13,32.2179,PKS 0047-051
4FGL J0051.1-0648,9.21E-12,7.49E-13,2.3505692,fsrq,12.78420761,-6.833952622,1.975,LSP,2.32E-12,12.6528,PKS 0048-071
4FGL J0051.5-4220,3.64E-12,4.83E-13,2.796241,fsrq,12.78959092,-42.44258145,1.749,LSP,6.77E-13,-inf,PKS 0048-427
4FGL J0058.0-0539,6.11E-12,6.12E-13,2.45726,fsrq,14.52110964,-5.664521689,1.2456,LSP,7.97E-13,60.4375,PKS 0055-059
4FGL J0058.4+3315,3.06E-12,4.73E-13,2.3432217,fsrq,14.63362089,33.18811515,1.369,LSP,4.80E-13,18.0281,MG3 J005830+3311
